,symbol,splits
124,SYN,"[{'ticker': 'SYN', 'exDate': '2018-08-13', 'paymentDate': '2018-08-13', 'declaredDate': '2018-08-13', 'ratio': 35, 'tofactor': 35, 'forfactor': 1}, {'ticker': 'SYN', 'exDate': '2018-08-10', 'paymentDate': '2018-08-10', 'declaredDate': '2018-08-10', 'ratio': 35, 'tofactor': 35, 'forfactor': 1}, {'ticker': 'SYN', 'exDate': '2007-04-25', 'paymentDate': '2007-04-25', 'ratio': 3.000030000300003}]"
125,TLGT,"[{'ticker': 'TLGT', 'exDate': '2020-05-28', 'paymentDate': '2020-05-28', 'declaredDate': '2020-05-28', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
126,AMPE,[]
127,TANH,[]
128,VTVT,[]
129,GERN,[]
130,NVIV,"[{'ticker': 'NVIV', 'exDate': '2020-02-12', 'paymentDate': '2020-02-12', 'declaredDate': '2020-02-12', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}, {'ticker': 'NVIV', 'exDate': '2018-04-17', 'paymentDate': '2018-04-17', 'declaredDate': '2018-04-17', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'NVIV', 'exDate': '2015-04-08', 'paymentDate': '2015-04-08', 'declaredDate': '2015-04-08', 'ratio': 4, 'tofactor': 4, 'forfactor': 1}]"
131,HOFV,[]
132,AIV,"[{'ticker': 'AIV', 'exDate': '2020-12-01', 'paymentDate': '2020-12-01', 'declaredDate': '2020-12-01', 'ratio': 1, 'tofactor': 1, 'forfactor': 1}, {'ticker': 'AIV', 'exDate': '2019-02-21', 'paymentDate': '2019-02-21', 'declaredDate': '2019-02-21', 'ratio': 1, 'tofactor': 1, 'forfactor': 1}, {'ticker': 'AIV', 'exDate': '2011-06-08', 'paymentDate': '2011-06-08', 'ratio': 1.25}]"
133,ARTL,[]
134,ENLC,"[{'ticker': 'ENLC', 'exDate': '2006-12-18', 'paymentDate': '2006-12-18', 'ratio': 0.3333333333333333}]"
